name;hash;reboot_date;reboot_time;ip;or_port;fast;running;stable;v2dir;valid;exit;guard;hsdir;badexit;staledesc;authority
mikrogravitation01;AXWbql3l+hnjb62vfZvGTBVXOrw;2022-08-05;22:45:01;45.14.233.149;443;True;True;True;True;True;False;True;True;False;False;False
Bigdaddy;AXsIzBY0JM1qukrdQEK0F01JRzI;2022-08-06;08:36:22;185.21.217.32;10042;True;True;True;True;True;False;True;True;False;False;False
raptor;AX2Xuw8oHDSXIJHAeSvycZi2dOU;2022-08-05;15:14:55;135.23.97.216;9001;True;True;True;True;True;False;False;True;False;False;False
prsv;AX56Nk/sTm51Lemn1sUhKSl/IFs;2022-08-06;06:46:38;194.32.107.172;9000;True;True;True;True;True;False;True;False;False;False;False
nicknamesomething;AYpdmyM+/3D7rbLnW1SoPy6dNA0;2022-08-06;08:11:37;87.151.169.210;443;False;True;True;True;True;False;False;False;False;False;False
Unnamed;AZgfCa8I6x7Gn5GzHYm2x2dXYgo;2022-08-06;06:31:37;54.36.112.244;9001;True;True;True;True;True;False;False;True;False;False;False
PyotrTorpotkinTwo;AZ/rIs4Ey9BIm38kvgOFGLZPoiM;2022-08-06;00:45:32;142.44.243.133;9001;True;True;True;True;True;False;True;False;False;False;False
rixtyminutes;Aa4t4xQnbIL8zDYDocLzI45lRMk;2022-08-05;18:20:56;149.56.233.142;443;True;True;True;True;True;False;True;False;False;False;False
root1Moh;AbjxjBHOKHfoGQ+iyBgIzQh1FcA;2022-08-06;03:04:33;89.58.34.53;9001;True;True;True;True;True;False;True;False;False;False;False
Overjump;AcsuKXqPWG27z5jwKKPRpJsKt7o;2022-08-05;19:57:41;103.228.53.155;9001;False;True;True;True;True;True;False;False;False;False;False
Hydra45;Ac/MJUUjTu5SPTPtJe8eeYB6GKc;2022-08-06;07:14:03;213.164.205.169;9001;True;True;True;True;True;True;True;False;False;False;False
StormyCloud;AeG0tvIvR6zSC0KNnW9G5AbcKa0;2022-08-06;04:40:31;23.128.248.45;443;True;True;True;True;True;True;False;True;False;False;False
yvrTorRelay2A;Ae5HjW3zm6zc4PPemcRaew7qTCE;2022-08-06;02:06:48;207.6.111.178;9031;True;True;False;True;True;False;False;False;False;False;False
Zinc;Afc9vZtWwx49Oq65X4zx3rfZpy8;2022-08-06;01:45:41;185.184.192.252;9001;True;True;False;True;True;False;False;False;False;False;False
